instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);DIA-0037-0014;"";diapositief;Gezinsportret op het strand van Blankenberge, 1955;"";"";"";"";"";1955;"";"";kusttoerisme$toerisme$Blankenberge$vakantie;"";jaren 1950;zee$strand$pier$groepsportret;""
Het Huis van Alijn (Gent);DIA-0079-0007;"";diapositief;Gezin op skivakantie bij een Austin, jaren 1950;Het model van de auto is een Austin A30, gemaakt tussen 1951 en 1956.;"";"";"";"";"";"";"";toerisme$vervoer$winter$skiën$vakantie;"";jaren 1950;auto$Austin$ski$berglandschap$sneeuw;""
Het Huis van Alijn (Gent);F01234;"";8mm film;Eerste verjaardag, 1961;Verjaardagsfeest voor eerste verjaardag. Kinderen spelen in de woonkamer. Er is taart voor de jarige en uitblazen van het kaarsje. De peuter wandelt door de woonkamer, bouwt een toren.;"";"";"";"";1961;"";"";verjaardag$feest$voedsel$speelgoed$interieur$mode;"";jaren 1960;taart$kaars$radio$hobbelpaard$speelgoedfiguur;""
Het Huis van Alijn (Gent);2003-245-003;"";postkaart;Mijne groeten uit Maldegem;"";"";"";"";"";1907;"";"";toerisme$vakantie$Maldegem;"";jaren 1900;bloem (plant);""
Het Huis van Alijn (Gent);FO-70-00740;"";digitale afbeelding;Man in Audi, ca. 1972;"";"";"";"";ca.;1972;"";"";Audi$vervoer;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);FO-70-00741;"";digitale afbeelding;Koppel bij Audi, ca. 1972;"";"";"";"";ca.;1972;"";"";toerisme$Audi$vervoer$vakantie;"";jaren 1970;auto$kerk$berglandschap;""
Het Huis van Alijn (Gent);FO-40-00094;"";digitale afbeelding;Schoolportret twee zussen, OLV Visitatie, Gent, ca. 1940;"";"";"";"";ca.;1940;"";"";onderwijs$school$Gent;"";jaren 1940;"";""
Het Huis van Alijn (Gent);2007-167-003;"";postkaart;Bonne année, 1908;"";"";"";"";"";1907;"";1908;nieuwjaarsdag;"";jaren 1900;bloem (plant)$vergeet-mij-nietje$duif$hart;""
Het Huis van Alijn (Gent);2007-167-010;"";postkaart;Bonne année;"";"";"";"";"";1911;"";"";nieuwjaarsdag$winter;"";jaren 1910;sneeuwpop$paraplu$sneeuw;""
Het Huis van Alijn (Gent);FO-60-01674;"";digitale afbeelding;Kindje bij Sinterklaas, 1965;"";"";"";"";"";1965;"";"";Sinterklaas;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);2002-156-001;"";postkaart;Groeten uit Gent - Souvenir de Gand;"";"";"";"";"";"";"";"";toerisme$vakantie$vervoer$Gent;"";"";fiets$rivier;""
Het Huis van Alijn (Gent);2003-245-028;"";postkaart;Bonjour de Louvain;"";"";"";"";"";"";"";"";toerisme$vakantie$Leuven;"";"";bloem (plant);""
Het Huis van Alijn (Gent);2003-245-029;"";postkaart;Souvenir de Knocke;"";"";"";"";"";1907;"";"";toerisme$kusttoerisme$vakantie$Knokke;"";jaren 1900;bloem (plant);""
Het Huis van Alijn (Gent);2007-010-042;"";digitale afbeelding;Rachel Demuynck, ca. 1939;Souvenirkaart met afbeelding van Rachel Demuynck en haar paard. Op dat moment, omstreeks 1939, was zij de jongste hogeschoolrijdster van België.;"";"";"";"";1939;"";"";circus$dresseur;Demuynck (circus);jaren 1930;hogeschoolrijder$paard;Demuynck, Rachel
Het Huis van Alijn (Gent);2012-085-012;"";postkaart;Souvenir d'Ostende;"";"";"";"";"";1907;"";"";toerisme$kusttoerisme$vakantie$Oostende;"";jaren 1900;vogel$meeuw$zee;""
Het Huis van Alijn (Gent);2012-085-165;"";postkaart;Bonjour de Tirlemont;"";"";"";"";"";"";"";"";toerisme$vakantie$Tienen;"";"";bloem (plant);""
Het Huis van Alijn (Gent);2012-085-177;"";postkaart;Groeten uit Beirvelde;Tekst: De tijd is kort daarom met spoed zend ik per spoor u dezen groet!;"";"";"";"";1914;"";"";toerisme$vakantie$station$vervoer$Beervelde;"";jaren 1910;trein$kind$paraplu;""
Het Huis van Alijn (Gent);2011-002-013;"";kookboek;Snelkookpan Recepten;"";Prestige;merk;"";"";1961;"";"";keuken$voedsel$recept (gerecht);"";jaren 1960;snelkookpan;""
Het Huis van Alijn (Gent);2012-015-153;"";digitale afbeelding;Façade van Cirque Simon;"";"";"";"";"";"";"";"";circus;Simon (circus);jaren 1920;circustent;""
Het Huis van Alijn (Gent);1977-109-127;"";menukaart;Menukaart gouden bruiloft, 1902;Feestmaal ter gelegenheid van de gouden bruiloft van meneer en mevrouw Coellink-De Baedts.;Buyck frères, F. & R.;drukker;Gent;"";1902-06-09;"";"";huwelijk$jubileum$banket;"";jaren 1900;engel$bloem (plant)$pijl;""
Het Huis van Alijn (Gent);FO-50-00262;"";digitale afbeelding;Vrouw met fiets in tulpenveld;"";"";"";"";"";"";"";"";vervoer$natuur;"";jaren 1950;fiets$bloem (plant)$tulp;""
Het Huis van Alijn (Gent);FO-00-00034;"";digitale afbeelding;Bruidspaar Basiel en Augusta met familie, Sint-Niklaas, 1903;"";"";"";"";"";1903-07-17;"";"";huwelijk$Sint-Niklaas;"";jaren 1900;bruidspaar$groepsportret$bruidsboeket$bloem (plant);""
Het Huis van Alijn (Gent);F02185;"";super8 film;Eerste verjaardag, Afsnee, 1980;Verjaardagsfeest. De jarige zit met zijn ouders, grootouders, meter en peter aan tafel in de tuin. Op de taart staat een kaars in de vorm van het cijfer 1. De kinderen spelen in de tuin en in de zandbak. Vader plant preiplantjes in de moestuin, samen met zijn schoonmoeder.;"";"";"";"";1980;"";"";verjaardag$feest$voedsel$koffie$speelgoed$vervoer$Afsnee;"";jaren 1980;taart$kaars$zandbak$auto$moestuin;""
Het Huis van Alijn (Gent);FO-50-00936;"";digitale afbeelding;Vrouwen en kinderen op parking, Vlissingen, ca. 1959;"";"";"";"";ca.;1959;"";"";vervoer$Vlissingen;"";jaren 1950;auto$Citroën;""
Het Huis van Alijn (Gent);FO-60-01045;"";digitale afbeelding;Zussen kijken naar kaarsjes op verjaardagstaart, 1965;"";"";"";"";"";1965-09;"";"";verjaardag$feest$voedsel;"";jaren 1960;taart$kaars;""
Het Huis van Alijn (Gent);FO-60-01047;"";digitale afbeelding;Zussen in tuin met speelgoed;"";"";"";"";"";"";"";"";speelgoed$vervoer;"";jaren 1960;driewieler$pop;""
Het Huis van Alijn (Gent);FO-60-01058;"";digitale afbeelding;Moeder en kinderen eten van verjaardagstaart;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel$interieur;"";jaren 1960;taart$kaars$tafel$tafellaken;""
Het Huis van Alijn (Gent);FO-60-00587;"";digitale afbeelding;Jonge vrouw op terras, Oostenrijk, 1961;Op de achtergrond twee VW busjes.;"";"";"";"";1961;"";"";café$toerisme$Oostenrijk$vervoer$vakantie;"";jaren 1960;terras;""
Het Huis van Alijn (Gent);FO-40-00159;"";digitale afbeelding;Groepsportret voor bus, Wenduine, 1946;"";"";"";"";"";1946-04-21;"";"";vervoer$toerisme$kusttoerisme$vakantie$Wenduine;"";jaren 1940;groepsportret$bus (voertuig);""
Het Huis van Alijn (Gent);FO-70-00868;"";digitale afbeelding;Jongen in auto op draaimolen, Desselgem, ca. 1973;"";"";"";"";ca.;1973-09;"";"";kermis$Desselgem;"";jaren 1970;draaimolen;""
Het Huis van Alijn (Gent);FO-70-00870;"";digitale afbeelding;Eerste communicant bekijkt gekregen cadeaus, Desselgem, 1973;"";"";"";"";"";1973-06-10;"";"";speelgoed$communie$feest$Desselgem;"";jaren 1970;geschenk$communicant;""
Het Huis van Alijn (Gent);FO-80-00551;"";digitale afbeelding;Toeristen op plein, Boedapest, 1984;"";"";"";"";"";1984;"";"";toerisme$mode$Boedapest$Hongarije$vakantie;"";jaren 1980;standbeeld$tempel$fototoestel;""
Het Huis van Alijn (Gent);FO-80-00554;"";digitale afbeelding;Toeristen op een boot, Frankrijk, 1985;"";"";"";"";"";1985-08-05;"";"";toerisme$vervoer$Frankrijk$vakantie;"";jaren 1980;boot$groepsportret;""
Het Huis van Alijn (Gent);FO-40-00179;"";digitale afbeelding;Groepsportret KAV bij autobus, Brussel, ca. 1946;"";"";"";"";ca.;1946;"";"";toerisme$vervoer$vakantie$vereniging$mode$Brussel;"";jaren 1940;groepsportret$bus (voertuig);""
Het Huis van Alijn (Gent);FO-40-00180;"";digitale afbeelding;Groepsportret KAV in autobus, Brussel, ca. 1946;"";"";"";"";ca.;1946;"";"";toerisme$vervoer$vakantie$vereniging$Brussel;"";jaren 1940;groepsportret$bus (voertuig);""
Het Huis van Alijn (Gent);FO-80-00556;"";digitale afbeelding;Bus met toeristen in berglandschap, Oostenrijk, 1986;"";"";"";"";"";1986-07-28;"";"";toerisme$vervoer$Oostenrijk$vakantie;"";jaren 1980;berglandschap$bus (voertuig);""
Het Huis van Alijn (Gent);DIA-80-00416;"";digitale afbeelding;Kindje snijdt samen met moeder verjaardagstaart aan;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel;"";jaren 1980;taart$kaars;""
Het Huis van Alijn (Gent);FO-50-00827;"";digitale afbeelding;Huwelijk Ethel en Richard, Gent, 1952;"";"";"";"";"";1952-04-17;"";"";huwelijk$Gent;"";jaren 1950;bruidspaar$studioportret$bruidsboeket;""
Het Huis van Alijn (Gent);FO-50-01687;"";digitale afbeelding;Bruid Denise verlaat haar ouderlijk huis, Gent, 1957;"";"";"";"";"";1957-07-06;"";"";huwelijk$Gent;"";jaren 1950;bruid$bruidsboeket;""
Het Huis van Alijn (Gent);FO-20-00278;"";digitale afbeelding;Klasfoto jongens en meisjes, Blaasveld, ca. 1923;"";"";"";"";ca.;1923;"";"";onderwijs$Blaasveld$school;"";jaren 1920;groepsportret;""
Het Huis van Alijn (Gent);FO-70-01137;"";digitale afbeelding;Portret van plechtige communicant, ca. 1975;"";"";"";"";ca.;1975;"";"";communie;"";jaren 1970;communicant;""
Het Huis van Alijn (Gent);FO-60-00966;"";digitale afbeelding;Toeristen in een bootje, 1961;"";"";"";"";"";1961;"";"";toerisme$vervoer$vakantie;"";jaren 1960;boot;""
Het Huis van Alijn (Gent);FO-60-00314;"";digitale afbeelding;Huwelijk Daniel en Marie Cecile, Deinze, 1960;De foto werd genomen aan het Kasteel van Ooidonk.;"";"";"";"";1960-07-07;"";"";huwelijk$vervoer$Deinze$park;"";jaren 1960;bruidsboeket$bruidspaar$auto;""
Het Huis van Alijn (Gent);FO-80-00482;"";digitale afbeelding;Man bij auto en benzinestation op vakantie, Zwitserland, 1983;"";"";"";"";"";1983;"";"";toerisme$vervoer$Zwitserland$vakantie;"";jaren 1980;auto$Opel$berglandschap$benzinestation;""
Het Huis van Alijn (Gent);FO-60-00975;"";digitale afbeelding;Twee vrouwen en twee mannen bij schietkraam, 1961;"";"";"";"";"";1961-03-26;"";"";kermis$schietkraam;"";jaren 1960;"";""
Het Huis van Alijn (Gent);FO-60-00493;"";digitale afbeelding;Schoolportret van tweeling op kameel, Tielt, ca. 1960-1961;De foto werd genomen in de Regina Pacis school in de Ieperstraat te Tielt. De kameel draagt reclame van macaroni Soubry.;"";"";"";ca.;1960;ca.;1961;onderwijs$reclame$Tielt$school;Soubry;jaren 1960;kameel;""
Het Huis van Alijn (Gent);FO-30-00056;"";digitale afbeelding;Klasfoto 3e leerjaar, Gent, 1936-1937;De foto werd genomen in de Stedelijke Oefenschool in de Casinostraat in Gent.;"";"";"";"";1936;"";1937;onderwijs$Gent$school;"";jaren 1930;groepsportret;""
Het Huis van Alijn (Gent);FO-50-00648;"";digitale afbeelding;Schoolportret van jongen op kameel, Willebroek, 1958;De foto werd genomen in de gemeentelijke lagere school op het Van Landeghemplein te Willebroek.;"";"";"";"";1958-04-24;"";"";onderwijs$Willebroek$school;"";jaren 1950;kameel;""
Het Huis van Alijn (Gent);FO-70-00379;"";digitale afbeelding;Schoolportret van meisje op pony, 1973;"";"";"";"";"";1973-06-30;"";"";onderwijs$school;"";jaren 1970;pony;""
Het Huis van Alijn (Gent);2012-011-108;"";boek;Kerstboek: Zonnekind Zonnestraal;"";Goede Pers;uitgever;Averbode;"";1976;"";"";leerboek$muziek$Kerstmis;"";jaren 1970;"";""
Het Huis van Alijn (Gent);2002-078-287;"";affiche;Affiche voor Circus Minnaert, 1935;Affiche voor Circus Minnaert. Tekstaffiche met foto. Rode en zwarte druk op wit papier. Rood sierkader.  In het midden een zwart–witfoto van de clowns Tonny Marino, Gastonske en Titi. Bovenaan in pen bijgeschreven: 1935.;"";"";"";"";1935;"";"";clown$circus;Minnaert (circus);jaren 1930;august$witte clown;Minnaert, Gaston$Minnaert, Odilon$Minnaert, Pierre
Het Huis van Alijn (Gent);FO-30-00593;"";digitale afbeelding;Man aan het afwassen, jaren 1930;"";"";"";"";"";"";"";"";huishouden$interieur;"";jaren 1930;pomp;""
Het Huis van Alijn (Gent);FO-40-00146;"";digitale afbeelding;Meisje bij Sinterklaas, 1948;"";"";"";"";"";1948;"";"";Sinterklaas;"";jaren 1940;Sinterklaas;""
Het Huis van Alijn (Gent);FO-20-00323;"";digitale afbeelding;Koppel bij Citroën, 1929;Het model van de auto is een Citroën type AC4 uit 1929.;"";"";"";"";1929;"";"";vervoer;"";jaren 1920;auto$Citroën;""
Het Huis van Alijn (Gent);FO-60-00786;"";digitale afbeelding;Mensen voor Volga, 1966;"";"";"";"";"";1966;"";"";vervoer;"";jaren 1960;auto$Volga;""
Het Huis van Alijn (Gent);DIA-60-00151;"";digitale afbeelding;Kindje achter stuur van Renault, Torhout, ca. 1962;"";"";"";"";ca.;1962;"";"";vervoer$Torhout;"";jaren 1960;auto$Renault;""
Het Huis van Alijn (Gent);FO-40-00164;"";digitale afbeelding;Klasfoto meisjes, ca. 1943;"";"";"";"";ca.;1943;"";"";onderwijs$school;"";jaren 1940;groepsportret;""
Het Huis van Alijn (Gent);FO-30-00267;"";digitale afbeelding;Twee vrouwen met twee honden in tuin, Gent;De foto werd genomen in een beluik, gelegen tussen de Blandijnberg en de Rozier in Gent.;"";"";"";"";"";"";"";huisdier$Gent;"";jaren 1930;hond$tuin;""
Het Huis van Alijn (Gent);DIA-0086-0061;"";diapositief;Vrouw bij een DAF, ca. 1969;Het model van de auto is een DAF 55, gemaakt tussen 1968 en 1972.;"";"";"";ca.;1969;"";"";toerisme$vervoer$vakantie;"";jaren 1960;auto$DAF;""
Het Huis van Alijn (Gent);DIA-50-00298;"";digitale afbeelding;Moeder en kind bij een Skoda, Torhout, 1959;Het model van de auto is een Skoda 1101, gemaakt tussen 1940 en 1952.;"";"";"";"";1959-11;"";"";vervoer$Torhout;"";jaren 1950;auto$Skoda$baby;""
Het Huis van Alijn (Gent);DIA-60-00140;"";digitale afbeelding;Gezin op vakantie bij een Citroën en aanhangwagen, ca. 1971;Het model van de auto is een Citroën Ami 6, gemaakt tussen 1961 en 1969.;"";"";"";ca.;1971;"";"";toerisme$vervoer$kampeerterrein$vakantie;"";jaren 1970;auto$Citroën;""
Het Huis van Alijn (Gent);FO-40-00408;"";digitale afbeelding;Meisje bij Ford, Sint-Denijs-Westrem, 1945;Deze auto is een Ford A (1927-1931) Town Sedan uit 1930. De wagen werd verborgen gehouden tijdens de Tweede Wereldoorlog.;"";"";"";"";1945;"";"";Ford$vervoer$Sint-Denijs-Westrem;"";jaren 1940;auto;""
Het Huis van Alijn (Gent);FO-50-01217;"";digitale afbeelding;Gezelschap poseert in auto, 1954;De auto en het gezelschap bevindt zich op de overzet Perkpolder-Kruiningen.;"";"";"";"";1954-06-20;"";"";vervoer$Nederland;"";jaren 1950;auto;""
Het Huis van Alijn (Gent);FO-50-01637;"";digitale afbeelding;Twee miliciens poseren voor een kerstboom tijdens hun legerdienst;"";"";"";"";"";"";"";"";Kerstmis$leger$dienstplicht;"";jaren 1950;kerstboom$fles$militair;""
Het Huis van Alijn (Gent);FO-70-01140;"";digitale afbeelding;Jongetje bij Sinterklaas, 1971;"";"";"";"";"";1971;"";"";Sinterklaas$speelgoed;"";jaren 1970;Sinterklaas$geschenk;""
Het Huis van Alijn (Gent);FO-30-00390;"";digitale afbeelding;Jongen bij een Packard, 1935;Het model van de auto is een Packard 120, gemaakt tussen 1935 en 1937. Packard was een Amerikaans merk van luxeauto's, het merk bestond van 1899 tot 1958. Het kenteken op deze foto is niet Belgisch.;"";"";"";"";1935;"";"";Packard$vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00380;"";digitale afbeelding;Man leunt tegen een Pontiac op straat, 1932;De auto is een Pontiac 6-30B uit 1930.;"";"";"";"";1932;"";"";Pontiac$vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00377;"";digitale afbeelding;Meisje poseert bij auto, ca. 1934;"";"";"";"";ca.;1934;"";"";vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00379;"";digitale afbeelding;Mensen op straat bij auto's, 1935;De rechtse auto is een Pontiac 6-30B uit 1930.;"";"";"";"";1935;"";"";Pontiac$vervoer$mode;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00383;"";digitale afbeelding;Man bij een Pontiac op straat, 1932;De auto is een Pontiac 6-30B uit 1930.;"";"";"";"";1932;"";"";Pontiac$vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00385;"";digitale afbeelding;Mensen bij auto op straat, 1933;"";"";"";"";"";1933;"";"";vervoer$mode;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00387;"";digitale afbeelding;Man en vrouwen bij auto, 1934;"";"";"";"";"";1934;"";"";vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00386;"";digitale afbeelding;Familie bij Pontiac, 1934;De auto is een Pontiac 6-30B uit 1930.;"";"";"";"";1934;"";"";Pontiac$vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00389;"";digitale afbeelding;Man bij auto, 1932;"";"";"";"";"";1932;"";"";vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-50-00325;"";digitale afbeelding;Man voor een Ford, Gent, 1958;Deze foto is genomen op het domein van het vroegere Etabl-ELIAT, een fabriek van olie en smeervetten. Het gebouw was gelegen op Nieuwland 92 in Gent en is nu een buurthuis van de Stad Gent. Op de achtergrond van de foto is een deel van de fabriek te zien. Het model van de auto is een Ford Anglia 100E, gemaakt tussen 1953 en 1959.;"";"";"";"";1958-04-05;"";"";Ford$vervoer$Nieuwland (Gent)$Gent;"";jaren 1950;auto;""
Het Huis van Alijn (Gent);FO-50-01168;"";digitale afbeelding;Vrouw en kind bij een Ford, 1953;"";"";"";"";"";1953;"";"";vervoer;"";jaren 1950;auto$Ford;""
Het Huis van Alijn (Gent);FO-30-00391;"";digitale afbeelding;Man bij Pontiac op straat, 1933;De auto is een Pontiac 6-30B uit 1930.;"";"";"";"";1933;"";"";Pontiac$vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-30-00298;"";digitale afbeelding;Groepsportret voor auto;"";"";"";"";"";"";"";"";vervoer;"";jaren 1930;auto;""
Het Huis van Alijn (Gent);FO-40-00043;"";digitale afbeelding;Gezin bij Ford Prefect, 1949;Deze auto was de eerste wagen van het gezin, een Ford Prefect E93A (1935 en 1949).;"";"";"";"";1949;"";"";Ford$vervoer;"";jaren 1940;auto;""
Het Huis van Alijn (Gent);FO-20-00253;"";digitale afbeelding;Mannen bij Ford-T, 1927;"";"";"";"";"";1927;"";"";Ford$vervoer;"";jaren 1920;auto;""
Het Huis van Alijn (Gent);FO-70-00030;"";digitale afbeelding;Moeder geeft dochter flesje melk, 1971;"";"";"";"";"";1971;"";"";interieur$huiskamer$geboorte$babyverzorging;"";jaren 1970;plant$baby;""
Het Huis van Alijn (Gent);FO-70-00720;"";digitale afbeelding;Jongen op motorkap van Peugeot, 1977;"";"";"";"";"";1977;"";"";Peugeot$vervoer;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);FO-40-00409;"";digitale afbeelding;Meisje in Ford, Sint-Denijs-Westrem, 1945;Deze auto is een Ford A (1927-1931) Town Sedan uit 1930. De wagen werd verborgen gehouden tijdens de Tweede Wereldoorlog.;"";"";"";"";1945;"";"";Ford$vervoer$Sint-Denijs-Westrem;"";jaren 1940;auto;""
Het Huis van Alijn (Gent);FO-50-01769;"";digitale afbeelding;Huilend meisje bij Sinterklaas, 1954;"";"";"";"";"";1954;"";"";Sinterklaas;"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-01071;"";digitale afbeelding;Vrouw en kindje op motorkap, ca. 1950;"";"";"";"";ca.;1950;"";"";vervoer;"";jaren 1950;auto;""
Het Huis van Alijn (Gent);FO-50-00036;"";digitale afbeelding;Man voor Vauxhall, Mariakerke, ca. 1957-1959;Het model van de auto is een Vauxhall Velox, gemaakt tussen 1948 en 1965.;"";"";"";ca.;1957;ca.;1959;vervoer$Mariakerke (Gent);"";jaren 1950;auto$Vauxhall;""
Het Huis van Alijn (Gent);FO-50-00209;"";digitale afbeelding;Man aan tankstation, Beervelde, 1957;De auto is een Renault Frégate, gemaakt tussen 1951 en 1960.;"";"";"";"";1957;"";"";vervoer$Beervelde;"";jaren 1950;auto$Renault$benzinestation;""
Het Huis van Alijn (Gent);2007-007-046;"";digitale afbeelding;Tweemast-chapiteau van Circus Semay;"";"";"";"";"";"";"";"";circus$vervoer;Semay (circus);"";circustent$woonwagen;""
Het Huis van Alijn (Gent);FO-60-00115;"";digitale afbeelding;Twee vrouwen voor een Ford, Gent, 1964;De auto is een Ford Anglia 105E (1959-1968).;"";"";"";"";1964;"";"";Ford$vervoer$Gent;"";jaren 1960;auto;""
Het Huis van Alijn (Gent);FO-60-00788;"";digitale afbeelding;Jongeman bij een Buick, 1960;"";"";"";"";"";1960-04-17;"";"";Buick$vervoer;"";jaren 1960;auto;""
Het Huis van Alijn (Gent);FO-50-01780;"";digitale afbeelding;Jongen met geschenken van Sinterklaas, ca. 1953;Deze jongen ging met de klas naar Sinterklaas.;"";"";"";ca.;1953;"";"";Sinterklaas$speelgoed$onderwijs;"";jaren 1950;Sinterklaas$bal;""
Het Huis van Alijn (Gent);FO-80-00470;"";digitale afbeelding;Vrouw en kinderen bij Mercedes, Oostduinkerke, 1986;De auto is een Mercedes W123-280, bouwjaar 1978.;"";"";"";"";1986;"";"";vervoer$Oostduinkerke;"";jaren 1980;auto$Mercedes-Benz;""
Het Huis van Alijn (Gent);2007-006-075;"";digitale afbeelding;Twee augusten bij Circus Libot, Oudenaarde, 1941;"";"";"";"";"";1941;"";"";circus$clown$Oudenaarde;Libot (circus);jaren 1940;august;""
